,feature_raw,feature_type,feature_name,feature_value,gini_importance
112,categorical__country of birth self_Canada,categorical,country of birth self,Canada,0.0008646025871281209
113,categorical__education_9th grade,categorical,education,9th grade,0.0008127195190036874
114,categorical__education_7th and 8th grade,categorical,education,7th and 8th grade,0.0007736674504062776
115,categorical__country of birth father_Germany,categorical,country of birth father,Germany,0.0007681919375277832
116,categorical__major occupation code_Handlers equip cleaners etc ,categorical,major occupation code,Handlers equip cleaners etc ,0.0007371005134231044
117,categorical__country of birth self_England,categorical,country of birth self,England,0.0007366216587212373
118,categorical__country of birth father_Poland,categorical,country of birth father,Poland,0.0007056318468697088
119,categorical__country of birth self_Mexico,categorical,country of birth self,Mexico,0.0006979503820498722
120,categorical__country of birth self_Germany,categorical,country of birth self,Germany,0.0006727317077790337
121,categorical__education_12th grade no diploma,categorical,education,12th grade no diploma,0.0006703138490295248
122,categorical__country of birth father_Ireland,categorical,country of birth father,Ireland,0.0006149168092772663
123,categorical__full or part time employment stat_PT for econ reasons usually FT,categorical,full or part time employment stat,PT for econ reasons usually FT,0.000612241268455154
124,categorical__major industry code_Forestry and fisheries,categorical,major industry code,Forestry and fisheries,0.0006075393181022059
125,categorical__full or part time employment stat_Unemployed full-time,categorical,full or part time employment stat,Unemployed full-time,0.0006020443945620413
126,categorical__country of birth mother_Puerto-Rico,categorical,country of birth mother,Puerto-Rico,0.0005386259268144692
127,categorical__citizenship_Native- Born abroad of American Parent(s),categorical,citizenship,Native- Born abroad of American Parent(s),0.000523033299155477
128,categorical__country of birth self_Philippines,categorical,country of birth self,Philippines,0.0005161107823367189
129,categorical__country of birth mother_India,categorical,country of birth mother,India,0.0005046629784116952
130,categorical__reason for unemployment_Job loser - on layoff,categorical,reason for unemployment,Job loser - on layoff,0.0004889292119813023
131,categorical__country of birth self_Jamaica,categorical,country of birth self,Jamaica,0.00047770334867783574
132,categorical__country of birth mother_China,categorical,country of birth mother,China,0.00046993232255875965
133,categorical__country of birth self_France,categorical,country of birth self,France,0.00046877417155381584
134,categorical__country of birth mother_El-Salvador,categorical,country of birth mother,El-Salvador,0.0004637024548090245
135,categorical__num persons worked for employer_0,categorical,num persons worked for employer,0,0.0004627858759298437
136,categorical__country of birth mother_Hungary,categorical,country of birth mother,Hungary,0.0004557889917876459
137,categorical__country of birth self_Italy,categorical,country of birth self,Italy,0.00045349799251054117
138,categorical__country of birth mother_Japan,categorical,country of birth mother,Japan,0.0004459296681794016
139,categorical__country of birth mother_Scotland,categorical,country of birth mother,Scotland,0.00041410309732601463
140,categorical__reason for unemployment_Job leaver,categorical,reason for unemployment,Job leaver,0.00040924587234608765
141,categorical__country of birth mother_Cuba,categorical,country of birth mother,Cuba,0.0003806920723578764
142,categorical__country of birth father_France,categorical,country of birth father,France,0.0003687976037103623
143,categorical__country of birth mother_Iran,categorical,country of birth mother,Iran,0.00036579267778281174
144,categorical__country of birth father_Cuba,categorical,country of birth father,Cuba,0.0003479573660183824
145,categorical__country of birth mother_South Korea,categorical,country of birth mother,South Korea,0.00034502984482736904
146,categorical__country of birth father_Portugal,categorical,country of birth father,Portugal,0.00034341385133161473
147,categorical__country of birth self_Japan,categorical,country of birth self,Japan,0.0003382482701715557
148,categorical__country of birth father_China,categorical,country of birth father,China,0.000326731810145028
149,categorical__country of birth father_South Korea,categorical,country of birth father,South Korea,0.0003222361997800554
150,categorical__country of birth mother_Greece,categorical,country of birth mother,Greece,0.00031594287435780295
151,categorical__country of birth father_Puerto-Rico,categorical,country of birth father,Puerto-Rico,0.0003091407672738406
152,categorical__country of birth father_Jamaica,categorical,country of birth father,Jamaica,0.00029245461576523507
153,categorical__country of birth mother_Jamaica,categorical,country of birth mother,Jamaica,0.00027165072127459454
154,categorical__fill inc questionnaire for veteran's admin_Yes,categorical,fill inc questionnaire for veteran's admin,Yes,0.00027012319313932294
155,categorical__country of birth self_Scotland,categorical,country of birth self,Scotland,0.00025014436320310816
156,categorical__country of birth father_Scotland,categorical,country of birth father,Scotland,0.00024621724231933026
157,categorical__country of birth father_Philippines,categorical,country of birth father,Philippines,0.00024566689654027335
158,categorical__country of birth self_Poland,categorical,country of birth self,Poland,0.0002233543049542528
159,categorical__country of birth mother_Taiwan,categorical,country of birth mother,Taiwan,0.00022212182680042655
160,categorical__enroll in edu inst last wk_College or university,categorical,enroll in edu inst last wk,College or university,0.0002185964888684646
161,categorical__country of birth self_El-Salvador,categorical,country of birth self,El-Salvador,0.00021736639908472607
162,categorical__education_5th or 6th grade,categorical,education,5th or 6th grade,0.00021542474612014186
163,categorical__marital stat_Married-A F spouse present,categorical,marital stat,Married-A F spouse present,0.00021000056356318503
164,categorical__education_1st 2nd 3rd or 4th grade,categorical,education,1st 2nd 3rd or 4th grade,0.00020845862855022715
165,categorical__country of birth father_Holand-Netherlands,categorical,country of birth father,Holand-Netherlands,0.00020826125817738567
166,categorical__country of birth mother_France,categorical,country of birth mother,France,0.000205773875013713
167,categorical__country of birth father_Yugoslavia,categorical,country of birth father,Yugoslavia,0.0002004862054858986
168,categorical__country of birth self_India,categorical,country of birth self,India,0.00019768284397794308
169,categorical__country of birth self_China,categorical,country of birth self,China,0.0001972262106100547
170,categorical__country of birth mother_Philippines,categorical,country of birth mother,Philippines,0.00019339534852507662
171,categorical__country of birth father_Haiti,categorical,country of birth father,Haiti,0.00019314965234132534
172,categorical__tax filer stat_Nonfiler,categorical,tax filer stat,Nonfiler,0.00018879862334093408
173,categorical__country of birth father_Greece,categorical,country of birth father,Greece,0.00018637122063845597
174,categorical__country of birth self_Ireland,categorical,country of birth self,Ireland,0.0001824472608993171
175,categorical__country of birth father_Japan,categorical,country of birth father,Japan,0.00017125948043339144
176,categorical__country of birth mother_Portugal,categorical,country of birth mother,Portugal,0.00015753780054437945
177,categorical__country of birth father_Hungary,categorical,country of birth father,Hungary,0.00015220903071435656
178,categorical__country of birth father_Iran,categorical,country of birth father,Iran,0.00015188855042392658
179,categorical__country of birth mother_Yugoslavia,categorical,country of birth mother,Yugoslavia,0.00015163362013756798
180,categorical__country of birth self_Taiwan,categorical,country of birth self,Taiwan,0.00014384278806482513
181,categorical__country of birth self_Hungary,categorical,country of birth self,Hungary,0.00014077842572187918
182,categorical__full or part time employment stat_Unemployed part- time,categorical,full or part time employment stat,Unemployed part- time,0.00012723073451041054
183,categorical__country of birth mother_Peru,categorical,country of birth mother,Peru,0.00012201493119302723
184,categorical__country of birth self_Cuba,categorical,country of birth self,Cuba,0.00011314098564505835
185,categorical__country of birth self_Peru,categorical,country of birth self,Peru,0.00011233624339386563
186,categorical__country of birth mother_Trinadad&Tobago,categorical,country of birth mother,Trinadad&Tobago,0.00011067933053499407
187,categorical__major industry code_Armed Forces,categorical,major industry code,Armed Forces,0.0001061012526474971
188,categorical__country of birth mother_Dominican-Republic,categorical,country of birth mother,Dominican-Republic,0.00010602813448780652
189,categorical__country of birth self_Haiti,categorical,country of birth self,Haiti,0.00010583868085897553
